Radius,Coil_diameter,Pitch_angle,Pitch_length,Stress
9.534442819,9.397791381,17.3648649,18.73327654,6.304573091
9.541677758,7.748340394,48.70077318,68.24393425,16.86932711
9.546288208,7.596122808,36.03761176,43.63900608,8.199979096
9.548982187,7.346039055,0.113250512,0.118591908,1.957718682
9.549534373,8.112568873,39.07590847,48.72001409,14.10268139
9.556165681,10.2662214,23.44270839,26.03615009,9.366270646
9.55769746,10.19676926,26.08872864,29.40490787,9.190638859
9.557817228,8.174203418,24.9818924,27.98032146,5.766487969
9.566835973,11.95044839,56.48487958,90.76455852,12.87637043
9.568574526,12.86524198,18.1430751,19.70065345,7.639764091
9.569462316,8.313536106,30.64440398,35.62175873,13.36011786
9.571391557,8.491296144,16.28880957,17.57307429,6.414137369
9.57191168,7.047233075,16.83182922,18.19443103,5.622971033
9.572824499,9.452612542,37.17996878,45.62155317,10.11081774
9.574061012,4.292467316,30.30219748,35.15518918,8.71084874
9.574112042,16.14777505,44.29384322,58.69108501,17.24817916
9.589066331,9.072238928,45.15050034,60.56723492,11.94138784
9.592620648,7.775410273,27.8786463,31.8837395,13.37683674
9.595898833,10.39776664,31.68226613,37.21182385,12.07932203
9.596153682,11.35040531,19.38804695,21.21887668,6.754559594
9.596500274,9.972166693,23.05673768,25.66488102,8.856205141
9.596518592,9.44435282,20.64747019,22.72107349,7.68380135
9.600022509,9.183467044,20.09121764,22.06303379,11.27493021
9.604527879,11.64174271,14.37357129,15.46481567,3.612362367
9.606926433,6.807892007,30.19353297,35.12246015,9.515039698
9.610449456,8.675902013,31.11375639,36.44587578,5.955334431
9.610449591,8.675902088,30.16408257,35.09380685,2.991045496
9.611862462,7.490013221,27.22038732,31.06501441,12.4701569
9.613239358,7.433178833,0.169380961,0.178563565,2.012444555
9.618878551,11.41037883,19.44785292,21.34004966,7.37943995
9.621024212,9.351923711,31.92952895,37.6704725,10.38737791
9.621558322,4.586979105,51.3500278,75.5941423,18.20537632
9.625790542,10.49805273,33.49901949,40.02976446,11.42434532
9.639111675,10.63883406,24.10195819,27.09421586,8.487764372
9.640259485,9.407100516,39.58984523,50.09105334,11.04543736
9.642877343,9.22481619,28.44538081,32.82184598,15.16286627
9.643039206,10.18680646,23.03178716,25.75818573,9.691778362
9.655014059,14.17090758,32.86658487,39.19529079,14.08040638
9.655176407,12.62256762,49.35832071,70.67526237,3.393301086
9.659286179,9.953190368,29.11656727,33.80321392,12.26713433
9.660139564,11.9540718,29.70951526,34.63400289,10.02805491
9.661364235,8.490839263,34.54768321,41.79522638,13.96310049
9.663492521,11.34755114,33.09280908,39.57039171,10.96560147
9.674653964,9.491847966,46.97858677,65.13794289,19.11918753
9.683681257,9.830005155,29.73536535,34.75480415,8.717836848
9.694027138,7.362980827,38.17073679,47.88059436,12.85719081
9.696656158,8.228244039,15.24376754,16.6031837,5.61850386
9.698065719,7.891742698,34.57268849,41.9932092,3.548851082
9.704947479,10.27888439,29.06555418,33.89190973,11.91837937
9.706794455,10.80144826,35.08782225,42.84483771,9.529472148
9.708199893,9.635799645,20.29008389,22.55199961,9.36104284
9.70825371,8.286394808,46.69803633,64.72586402,14.95967861
9.708289801,9.179370505,25.7807054,29.46272293,3.154783395
9.712481691,5.989678488,19.45545658,21.55682248,9.439968883
9.72381606,10.26657016,43.32887651,57.63262894,9.728449389
9.731428381,13.12006787,40.66253841,52.52293747,12.18303368
9.731518493,12.54816473,15.10092545,16.4992289,5.800907092
9.736505514,11.07064429,24.79359265,28.25910297,10.23502622
9.738921985,9.456456206,41.57826976,54.28682537,12.37463689
9.742452543,7.714072314,0.513125822,0.548227752,5.247319401
9.742612689,13.09872971,56.31400229,91.83609445,2.384584977
9.748730935,7.116836692,46.59958821,64.77238662,17.00899441
9.752785181,6.090842779,66.62558183,141.7800337,32.73190928
9.756673876,10.57534965,35.27483953,43.36453312,13.69068308
9.760837193,6.827782954,33.17159844,40.08926548,13.45073214
9.762643153,14.69996089,41.37243377,54.02649335,14.57269117
9.765912508,6.996557559,17.87270309,19.78679677,3.04569982
9.773309457,9.009100991,33.11348186,40.05164797,12.65742071
9.779268921,11.02298792,22.13381112,24.99245881,9.54212573
9.78044137,9.211520768,35.9996555,44.6471634,12.44235518
9.781066204,9.213298443,39.05479732,49.86368561,15.71312904
9.787929541,6.764581189,23.88980089,27.23967568,11.66883926
9.790430752,8.256253408,19.48140949,21.76117621,7.856759898
9.791558377,13.48343168,26.00412651,30.01185515,9.210719173
9.79198651,8.859918408,32.34624764,38.96394913,1.81303783
9.794582984,8.178667119,26.73802244,31.00317646,5.157476959
9.799419296,7.401610754,46.48208256,64.8422715,15.99190877
9.800250977,8.615809732,36.46966037,45.51398966,14.48562556
9.801206945,9.744244664,41.62588639,54.72554318,14.92461269
9.81388769,9.425239761,28.11556986,32.94623229,10.60383929
9.813963166,8.862187295,28.39149021,33.32919727,10.87753384
9.81412845,4.81810338,23.69248353,27.05895034,8.775664555
9.817197274,9.134537436,37.42020086,47.19489037,14.24308543
9.817321592,7.680534036,18.31691042,20.42024813,7.102010256
