Radius,Coil diameter,Pitch angle,Pitch length,Number of turns,Total length,Stress,Strain
6.553781447,9.45342182,0.112586724,0.08091647,417.5934519,33.79018817,2.269465978,0.024568802
4.766401117,3.986007173,66.18481618,67.85291092,2.206116441,149.6914223,17.15614465,0.024693998
12.11334072,11.61906907,31.15704432,46.01612039,1,46.01612039,1.516936655,0.025013684
3.084568035,4.657885809,58.98979916,32.24225101,2.756998182,88.89182743,6.39526678,0.025259564
11.84069964,11.78891525,0.509377661,0.661433119,63.00937034,41.67648437,1.667496523,0.025318386
20.46349681,8.833395193,19.41157011,45.30792309,1,45.30792309,1.897425682,0.025490693
13.65542596,8.864455067,9.459538788,14.29564475,2.447018544,34.98170779,1.880549045,0.025495218
3.672877131,6.532683059,58.40300967,37.51614121,2.007118957,75.29935822,13.92442988,0.025598736
3.42297413,4.433253456,58.20300035,34.69158776,2.589174402,89.82257098,12.83091158,0.025695684
8.898476723,7.225016024,27.06542821,28.56843349,0.650755271,18.59105867,2.290831011,0.025976726
10.94903578,5.90503401,16.48225346,20.35477858,1,20.35477858,1.854156152,0.02618099
3.257400748,5.226800408,72.49819897,64.90544893,3.699794368,240.1368144,10.98433207,0.026202949
3.616115965,3.461401239,52.05037841,29.13396942,2.947120098,85.86130682,12.07021063,0.026209431
4.964645518,8.433275144,49.89726222,37.04022149,2.513050449,93.08394523,2.709964866,0.026643817
3.785156066,2.047702459,2.677641117,1.112268729,234.0845907,260.3649702,23.68901467,0.026792944
4.38324687,6.703757603,61.42071369,50.55679277,4.06914358,205.7228487,9.47430945,0.027111182
11.35984899,5.379671559,10.19936575,12.84176026,1.194884055,15.34441457,2.122586918,0.027388851
5.692253575,8.711094914,71.12374696,104.6038818,2.554151904,267.1742039,11.04693787,0.027859654
10.71951001,8.948534376,46.54798146,71.09404465,1.064689308,75.69306924,3.61234928,0.027915062
3.258614566,4.663398348,72.50519451,64.95728581,4.263532448,276.9474958,14.28373855,0.02799649
6.848115651,5.744690477,33.55545927,28.5395317,0.997377392,28.46468368,3.297114869,0.028508711
4.045411657,2.890439703,45.6400367,25.99238824,3.081132949,80.08600385,15.17501881,0.028556162
4.965464894,8.421033193,50.02581552,37.21548467,2.480644785,92.31839795,4.183067346,0.028681774
4.370934633,7.094304821,73.25698458,91.29118672,2.99207747,273.150303,11.63977642,0.028764789
5.032718898,7.81895301,31.4319862,19.32608819,2.346478186,45.34824436,3.39488716,0.028964256
3.748172223,6.051464437,65.77317228,52.33659676,6.598425909,345.339156,12.8593327,0.029017827
5.235613645,8.679608687,76.41541024,136.1373314,2.332292818,317.5121202,13.82812989,0.029229865
6.568273884,9.4360939,41.71628698,36.79099471,0.927457585,34.1220871,3.29436894,0.029452858
7.52560471,5.946319466,29.15786464,26.38094826,0.728167497,19.20974905,6.126294414,0.029474702
5.080925215,2.011724188,3.91214859,2.183187467,144.1683053,314.7464372,19.63864684,0.029630411
4.80783604,1.12634944,4.032963464,2.129851115,116.1276827,247.3346744,22.33551079,0.029635368
3.314441349,3.595866642,66.97160063,48.99367996,4.087902264,200.2813752,15.23303418,0.029652653
3.932930119,5.830175464,72.92103755,80.43049816,3.019019311,242.8212271,14.11748167,0.02969285
16.79162782,12.29823428,0.058595895,0.10789899,417.0088719,44.99483599,1.551645895,0.029724565
3.654181082,1.044693857,5.208453929,2.092930115,109.2359617,228.6232339,16.41978485,0.029745724
12.5754036,11.05696864,7.721285965,10.71294913,3.758144381,40.26080957,1.56820102,0.029772701
17.9262984,7.957101807,54.97085975,160.6843888,1.113764748,178.9646078,21.03249636,0.02984878
6.291979344,4.53226512,59.35601406,66.73081506,4.807040639,320.7777399,22.58802151,0.029866231
4.269256342,0.927803964,84.99353036,306.2075334,1,306.2075334,16.8321301,0.029993283
