Radius,Coil_diameter,Pitch_angle,Pitch_length,index1,index2,index3,index4,type,shift
9.50540937518121,8.93340975034249,25.9660882544018,29.0857169190784,3,2,4,3,1,4
6.87335573729581,9.68024901441183,44.3822086879389,42.2651495704181,4,1,1,5,1,4
3.99802343170578,7.34891826696598,51.0676224391952,31.0959836080272,3,1,1,4,1,5
12.4839015926185,8.34719810906902,22.3020327948263,32.1732929275432,2,3,5,3,2,2
3.08059738653357,4.49973437118861,54.0435777238118,26.6838546568105,2,2,1,4,1,4
2.36780497396198,1.11798151288924,5.0663061032348,1.31895063330571,1,1,1,5,2,5
10.1476116459275,6.68402343448457,20.7848340462959,24.2005851456828,2,2,3,3,1,2
9.71248169100784,5.98967848772522,19.4554565840135,21.5568224840866,2,3,2,3,2,2
5.87622861196595,6.72109058383155,33.297919066739,24.2509290234424,2,2,3,2,2,3
3.60826383262171,6.23782346984561,51.9021328912711,28.9161126246195,3,1,1,5,1,5
