Radius (A°),Coil diameter (A°),Pitch angle (deg),Pitch length (A°),Number of turns,Total length (A°),Yield stress (GPa),Failure strain,Toughness (GPa)
7.750854787,4.078556517,22.02990919,19.70567837,0.935269038,18.43011086,6.253812011,0.21333515,1.390777765
6.920591965,7.900290521,44.73567631,43.08399611,2.232626088,96.19045368,8.301876201,0.254002764,1.392370484
6.44290628,9.606107402,37.82576177,31.43020149,2.092797205,65.77703783,8.006405267,0.237007643,1.394727209
8.175681305,7.249521164,28.36219137,27.73149565,0.914486746,25.36008521,6.036384941,0.444199078,1.405250555
5.472299199,8.036970117,45.15728403,34.57276382,1.339797794,46.32051272,8.799207616,0.205524554,1.408537259
10.60220973,9.151309253,28.52272607,36.20356556,0.734290136,26.58392109,8.178468252,0.560696855,1.412346186
2.825035258,4.363030882,44.85452352,17.66031095,1.960349451,34.62038089,12.08467319,0.149881071,1.420595638
7.192286272,7.425331844,36.79449626,33.80001907,1.73272534,58.56614955,10.44985321,0.283809434,1.426176897
4.471956968,3.897565102,51.96019276,35.9125146,6.776311837,243.3543978,29.53364269,0.089972275,1.434604109
6.160860579,8.727264083,48.66450575,44.00746095,2.313111565,101.7941669,20.71466276,0.191014441,1.448011989
7.637539242,3.879869574,60.18016148,83.72466709,2.092733745,175.2134361,19.53278244,0.138053243,1.458356918
4.627538073,7.798331216,43.09193215,27.20086103,2.671040434,72.65459964,20.61739008,0.1468324,1.477304193
5.063598778,4.793246884,30.72464,18.90918959,1.726153206,32.64015823,5.921389955,0.536509635,1.485063495
3.11914573,2.451363751,61.2631651,35.74222076,7.023061275,251.0198065,33.42621275,0.07986238,1.496779175
4.383006864,3.521587576,69.92010916,75.33644071,2.078578129,156.592678,4.066044048,0.637805916,1.503158347
5.572284343,6.123483507,51.14261026,43.4565596,1.52819226,66.40997802,12.96134151,0.18199063,1.546643099
3.980131545,5.605806777,68.1696716,62.42836413,3.674677976,229.4041348,19.99388888,0.130100532,1.553729862
3.62618608,3.495314511,49.55993918,26.7332153,9.061801443,242.251089,26.24051818,0.110199733,1.568806809
9.988979206,9.221716009,15.52958623,17.44051821,2.292744055,39.98664444,5.424945178,0.740915578,1.57411066
13.23223193,5.22881774,11.83091166,17.41578713,1.312966376,22.86634291,3.235813209,1.311608277,1.595113727
4.792531195,5.534728186,20.55116515,11.28921025,2.046709539,23.1057343,11.77626799,0.382375984,1.596959267
3.761232003,6.067017919,56.36267772,35.51957992,2.082577332,73.97227198,30.34487545,0.096056968,1.630798681
3.070604307,3.300779424,60.83307828,34.56792065,4.367933957,150.9903944,37.30466467,0.04263833,1.634597841
11.01155967,16.66861092,41.79033632,61.83992147,4.277019991,264.4905803,13.44933018,0.280342033,1.63938087
6.409841652,5.941027533,27.75789529,21.19638016,1.396821934,29.60756873,7.841856883,0.499511162,1.641913489
3.905591726,6.300113335,64.18361527,50.72548655,2.928930814,148.5714406,16.59218206,0.240851128,1.665278178
5.490634617,6.160878924,35.82463836,24.90378777,2.398319197,59.72723229,14.10730799,0.2542818,1.669299186
4.111971524,2.783950558,40.78215217,22.28723712,8.141400672,181.4493273,28.57366794,0.109288135,1.671444357
10.48859414,8.550728701,26.53969478,32.91444209,1.794097425,59.0517158,5.033395263,0.705836492,1.676578964
5.652634331,10.43500945,59.95897343,61.414867,2.37747397,146.0122477,20.19961988,0.115353064,1.679631843
12.51621712,8.623878345,14.97297815,21.03223622,1.71604217,36.09220429,4.338871445,1.00270717,1.697656352
5.620135865,7.770492977,60.42309184,62.21936046,3.511770632,218.5001228,30.42052612,0.147732192,1.728466596
3.923659921,4.577988867,56.11709375,36.7113111,5.763940695,211.60182,34.9361523,0.105324703,1.731970452
4.269166402,5.897564024,24.40860996,12.17275021,2.528195286,30.7750897,11.52590255,0.31865873,1.732084162
9.708289801,9.179370505,25.7807054,29.46272293,2.601052798,76.6340979,3.154783395,0.47154893,1.73370293
12.5788688,14.78809599,33.69168969,52.69347465,3.67216879,193.4993331,8.633305337,0.59478734,1.737925156
4.633444577,3.21256953,41.24299393,25.52493531,7.169149809,182.9920851,31.44007776,0.134210155,1.744133533
3.435767025,4.338340837,53.5415607,29.21821528,7.589161136,221.7417439,26.47225066,0.124801715,1.75590569
3.269493103,4.958302816,49.12755348,23.73835051,2.04045768,48.43709961,10.36591065,0.071188777,1.756325206
3.420533368,2.69323103,52.21745159,27.72455244,8.790093632,243.7014118,25.40126984,0.125205381,1.75985546
4.925959156,5.861707145,23.17159992,13.2473372,1.938947203,25.68588742,5.337421309,0.447435007,1.76472914
14.97121853,9.636409331,10.57879982,17.56812686,1.253453259,22.02082586,2.877223269,1.671187206,1.76623951
8.025882463,5.67500679,37.6286574,38.87506653,1.577078425,61.30902869,12.7491198,0.334760241,1.773857682
3.722504133,2.681148634,47.37837309,25.41628421,9.075439954,230.6639612,23.62485475,0.12015982,1.776668969
5.545086936,7.933216097,47.23226421,37.66717618,2.94693298,111.0026437,30.028642,0.118873809,1.788249244
16.33585364,11.290796,33.86655631,68.88509023,2.17623848,149.9103841,6.873079802,0.481029488,1.789053779
6.602389183,8.810518675,52.44345228,53.95270961,4.596688848,248.0038186,30.00849007,0.115249205,1.796719185
4.856715418,8.230849291,42.66204486,28.12161971,2.529437249,71.13187239,23.99122385,0.141082167,1.797349526
6.044425293,11.64124776,51.30631075,47.41529947,5.713702862,270.9169323,23.69945385,0.165062759,1.801203712
6.342580099,5.086593934,51.45935195,50.02744377,1.333979303,66.73557456,9.18960809,0.197347916,1.801924331
3.992715482,6.21861887,63.61226616,50.56455365,2.254175884,113.9813974,31.98037817,0.10660171,1.804889864
9.574112042,16.14777505,44.29384322,58.69108501,4.587025895,269.2175267,17.24817916,0.254649364,1.806227579
5.236820755,10.08963762,55.94350761,48.678461,5.595819701,272.395891,17.46519099,0.219804981,1.807163498
4.152571877,6.56225512,28.26468412,14.02802206,2.197399846,30.82517351,3.975685846,1.062637982,1.808693678
6.693021585,12.98809896,51.56983288,53.00095546,5.145340923,272.7079851,20.24744091,0.244832113,1.812226091
8.54963828,15.67896196,47.53316925,58.69213815,4.478061861,262.8270254,14.75300304,0.324765191,1.816828073
5.248709059,9.017268117,55.26736447,47.56924852,4.553708274,216.6164806,29.2511556,0.139877731,1.819890088
4.191181887,3.022892283,38.08693297,20.63877546,3.241527332,66.90115474,43.99328394,0.08121094,1.825687439
4.412396982,4.213962595,46.59454955,29.31162465,5.813173807,170.3935687,34.34421528,0.104874974,1.82617426
4.726506386,7.124475685,54.19390904,41.16739563,6.287482321,258.8392722,27.68346606,0.174994493,1.83024058
7.522539018,8.9630573,34.78251335,32.82899379,1.156447421,37.9650052,9.258372298,0.321638243,1.831384412
4.535820143,7.896802996,67.21225817,67.83801377,2.240404188,151.9845701,30.34673074,0.122765659,1.834437626
3.752841407,6.213745333,60.6176402,41.87754142,4.744149456,198.6733153,27.71988136,0.124710665,1.839225606
4.36993988,6.156042637,63.28307028,54.55228809,2.095090157,114.2919618,39.30637259,0.10058697,1.839408138
7.062381157,13.54492184,49.60863343,52.15548736,5.241229556,273.3588818,19.68315489,0.26519662,1.842588993
11.44981335,6.915779814,39.9283468,60.21276359,1.139440477,68.60886007,3.919587598,0.473174552,1.857626829
10.16571325,15.28357815,44.62532679,63.04310779,4.230981498,266.7342226,14.50933755,0.300199495,1.866657442
6.067752545,10.64358822,61.2849376,69.5929574,3.186613401,221.7658506,22.93015074,0.169923083,1.869546129
6.295413539,11.36738734,50.58029897,48.12160424,4.676911528,225.0604856,21.94684681,0.194724776,1.871221983
3.314127043,5.882876624,56.88391991,31.92325077,6.030869156,192.5249484,26.50162491,0.134656232,1.877400431
6.315336003,12.32029273,50.63079227,48.36070815,4.91544954,237.7146206,21.08901723,0.209729116,1.877652231
5.329584704,8.502334773,34.30916994,22.85097874,2.985935275,68.23154348,9.277357913,0.26810431,1.878675652
7.559914418,13.51138753,55.35065301,68.72895019,3.187303696,219.060037,13.90446626,0.269686483,1.889504776
5.025087828,6.072075235,66.08519956,71.20012312,3.152269114,224.441949,38.51887218,0.089881375,1.897626322
5.779877951,8.738274516,54.13655919,50.23610157,2.946660653,148.0287439,28.25002583,0.126177604,1.900495073
5.082476981,6.586025438,45.16208307,32.11533367,5.594772957,179.6780004,28.32913287,0.159975698,1.902525088
5.569097119,10.54274888,51.16199995,43.46180077,5.425300831,235.7933438,14.44783228,0.244756434,1.906551656
3.26633677,3.784889927,56.58225166,31.10379253,6.899360318,214.5962719,37.1233845,0.105138302,1.907884163
5.567333477,8.273364677,52.91266283,46.27388149,2.270776902,105.0776613,22.65314788,0.17692188,1.909576004
21.72758463,14.76244885,14.50002597,35.30613532,2.686697243,94.85689643,3.031781086,1.111577083,1.912166277
6.137026175,7.285000913,34.58926529,26.59015116,2.258937995,60.06550277,8.066407014,0.352712955,1.913832411
4.852463738,5.373138016,45.1145128,30.61104499,6.934791325,212.2812093,18.90985481,0.189736871,1.915952759
4.860460507,3.638902755,53.00880977,40.53982044,6.196321007,251.197741,19.31184251,0.150118334,1.916124008
4.656725753,3.639762635,46.79234376,31.1494035,7.243589089,225.6334793,40.70863628,0.094149659,1.91718602
3.922812645,3.091483698,45.57300957,25.14575552,7.771954363,195.4316643,33.54294311,0.15023873,1.917225177
8.61276989,7.146497746,63.27900985,107.4988249,2.073358239,222.8835743,24.53432453,0.206559417,1.917631961
4.035101714,7.675518604,60.84471948,45.44763217,3.675738285,167.0536015,18.21911624,0.189798314,1.917963449
7.838492241,13.20254784,45.6622328,50.40255714,4.547380911,229.1996262,19.54535503,0.23998233,1.919517868
3.927163462,6.39948238,60.89523983,44.32373118,5.009100257,222.0220133,33.42458501,0.135350103,1.920556929
5.195877376,6.554519429,54.54794158,45.85003161,4.722997151,216.5495687,36.60868932,0.100424886,1.927432072
4.718780835,4.922903867,57.97138235,47.39558429,2.395771593,113.5489945,39.01105069,0.086493641,1.930007548
5.030283901,8.122447256,51.57819836,39.84595153,5.624353553,224.1077191,27.27357588,0.220104055,1.931017466
4.59128411,4.797178504,48.71106434,32.84965434,7.627859033,250.5725326,17.95696702,0.179754326,1.937083201
4.824373493,7.428374181,40.86348157,26.22365449,2.829072575,74.18862172,29.43257039,0.128293634,1.938423458
3.904405489,5.381371978,60.56876916,43.48203445,6.168785322,268.2313359,30.84034924,0.135304265,1.940784955
4.285893205,5.560997901,67.88761237,66.27716915,3.487509541,231.1422598,37.30344683,0.115207784,1.94084536
3.331043124,5.945530179,55.04293134,29.93823047,3.673396766,109.974999,27.32573545,0.125311638,1.9409906
9.485272122,12.12536772,15.66961944,16.71807138,2.953972083,49.38471614,5.695381294,0.646553344,1.944955111
3.510593402,3.325791665,50.02527649,26.31091775,8.422510042,221.6039689,40.73898981,0.089797279,1.948677834
4.079721358,4.203740948,60.68092869,45.64301343,3.977740981,181.556085,43.38962304,0.109693504,1.954886493
